Location,Year,Season,Area ,Production,Yield,crop
Ariyalur,2013-2014,Kharif,38,104,2.74,Ragi
Ariyalur,2013-2014,Rabi,11,44,4.00,Ragi
Ariyalur,2014-2015,Kharif,20,60,3.00,Ragi
Ariyalur,2014-2015,Rabi,18,76,4.22,Ragi
Ariyalur,2015-2016,Kharif,14,42,3.00,Ragi
coimbatore,2013-2014,Kharif,8,22,2.75,Ragi
coimbatore,2013-2014,Rabi,2,8,4.00,Ragi
coimbatore,2014-2015,kharif,10,30,3.00,Ragi
coimbatore,2014-2015,Rabi,1,4,4.00,Ragi
coimbatore,2015-2016,Kharif,16,48,3.00,Ragi
coimbatore,2015-2016,Rabi,6,22,3.67,Ragi
Cuddalore,2013-2014,Kharif,120,328,2.73,Ragi
Cuddalore,2013-2014,Rabi,79,313,3.96,Ragi
Cuddalore,2014-2015,Kharif,61,183,3.00,Ragi
Cuddalore,2014-2015,Rabi,75,315,4.20,Ragi
Cuddalore,2015-2016,Kharif,34,101,2.97,Ragi
Cuddalore,2015-2016,Rabi,56,203,3.63,Ragi
Dharmapuri,2013-2014,Kharif,20268,60152,2.97,Ragi
Dharmapuri,2013-2014,Rabi,8339,34782,4.17,Ragi
Dharmapuri,2014-2015,Kharif,18289,54302,2.97,Ragi
Dharmapuri,2014-2015,Rabi,5634,27508,4.88,Ragi
Dharmapuri,2015-2016,Kharif,15726,46832,2.98,Ragi
Dharmapuri,2015-2016,Rabi,5169,21332,4.13,Ragi
Madurai,2013-2014,Kharif,44,120,2.73,Ragi
Madurai,2013-2014,Rabi,16,63,3.94,Ragi
Madurai,2014-2015,Kharif,10,30,3.00,Ragi
Madurai,2014-2015,Rabi,3,13,4.33,Ragi
Madurai,2015-2016,Kharif,22,66,3.00,Ragi
Madurai,2015-2016,Rabi,7,25,3.57,Ragi
Ariyalur, 2013-14,Kharif     ,24437,131658,5.39,Rice
Ariyalur, 2014-15,Kharif     ,23108,116239,5.03,Rice
Ariyalur, 2015-16,Kharif     ,24408,124179,5.09,Rice
coimbatore, 2013-14,Kharif     ,2158,10139,4.70,Rice
coimbatore, 2014-15,Kharif     ,2166,9969,4.60,Rice
coimbatore, 2015-16,Kharif     ,2034,7942,3.90,Rice
Cuddalore, 2013-14,Kharif     ,127485,565960,4.44,Rice
Cuddalore, 2014-15,Kharif     ,134677,641958,4.77,Rice
Cuddalore, 2015-16,Kharif     ,139987,507130,3.62,Rice
Dharmapuri, 2013-14,Kharif     ,26689,132535,4.97,Rice
Dharmapuri, 2014-15,Kharif     ,18303,95163,5.20,Rice
Dharmapuri, 2015-16,Kharif     ,33349,149426,4.48,Rice
Madurai, 2013-14,Kharif     ,35268,163965,4.65,Rice
Madurai, 2014-15,Kharif     ,47717,197498,4.14,Rice
Madurai, 2015-16,Kharif     ,55983,203670,3.64,Rice
